iter	Passed	Remaining
0	146	145974
1	147	73441
2	147	49143
3	148	36984
4	149	29696
5	149	24826
6	151	21443
7	151	18835
8	152	16778
9	153	15189
10	154	13926
11	156	12860
12	157	11920
13	157	11126
14	158	10430
15	159	9800
16	160	9266
17	161	8784
18	162	8372
19	162	7979
20	164	7676
21	166	7392
22	167	7111
23	168	6835
24	168	6580
25	169	6360
26	170	6146
27	171	5940
28	172	5763
29	173	5596
30	174	5446
31	174	5289
32	175	5142
33	176	5008
34	177	4889
35	178	4776
36	179	4671
37	180	4574
38	181	4480
39	182	4388
40	184	4308
41	184	4215
42	185	4134
43	186	4050
44	187	3979
45	188	3908
46	189	3845
47	190	3780
48	191	3719
49	192	3652
50	193	3604
51	195	3557
52	196	3508
53	197	3452
54	197	3400
55	198	3352
56	199	3307
57	200	3259
58	201	3210
59	202	3167
60	202	3123
61	203	3082
62	204	3044
63	205	3006
64	206	2970
65	207	2939
66	208	2905
67	209	2869
68	210	2834
69	210	2800
70	211	2768
71	212	2734
72	212	2703
73	213	2671
74	214	2643
75	214	2612
76	215	2582
77	215	2553
78	216	2528
79	217	2500
80	218	2474
81	218	2449
82	219	2420
83	219	2397
84	220	2372
85	221	2348
86	221	2325
87	222	2301
88	222	2279
89	223	2258
90	223	2237
91	224	2216
92	225	2198
93	226	2180
94	226	2161
95	227	2143
96	228	2124
97	228	2106
98	229	2087
99	229	2068
100	230	2050
101	230	2033
102	231	2015
103	232	1998
104	232	1981
105	233	1966
106	233	1950
107	234	1936
108	235	1921
109	235	1906
110	236	1891
111	236	1876
112	237	1863
113	237	1849
114	238	1836
115	239	1824
116	239	1809
117	240	1796
118	240	1784
119	241	1771
120	242	1759
121	242	1746
122	243	1734
123	243	1722
124	244	1710
125	245	1699
126	245	1687
127	246	1676
128	246	1665
129	247	1655
130	247	1644
131	248	1634
132	249	1623
133	249	1613
134	250	1602
135	250	1592
136	251	1581
137	251	1572
138	252	1562
139	252	1553
140	253	1546
141	254	1535
142	254	1526
143	255	1517
144	255	1508
145	256	1499
146	256	1491
147	257	1482
148	257	1473
149	258	1464
150	258	1456
151	259	1447
152	259	1439
153	260	1431
154	261	1423
155	261	1417
156	262	1409
157	263	1402
158	263	1394
159	264	1387
160	264	1379
161	265	1371
162	265	1365
163	266	1358
164	266	1351
165	267	1344
166	268	1337
167	268	1331
168	269	1326
169	270	1320
170	271	1314
171	271	1308
172	272	1303
173	273	1296
174	273	1290
175	274	1284
176	274	1278
177	275	1272
178	276	1266
179	276	1260
180	277	1255
181	278	1250
182	278	1245
183	279	1240
184	280	1235
185	280	1229
186	281	1224
187	282	1218
188	282	1213
189	283	1209
190	284	1204
191	284	1198
192	285	1193
193	286	1188
194	286	1184
195	287	1179
196	288	1174
197	288	1168
198	289	1163
199	289	1159
200	290	1154
201	291	1149
202	291	1145
203	292	1140
204	292	1135
205	293	1130
206	293	1125
207	294	1120
208	294	1115
209	295	1110
210	295	1105
211	296	1101
212	297	1097
213	297	1093
214	298	1089
215	299	1086
216	299	1081
217	300	1077
218	300	1072
219	301	1068
220	301	1063
221	302	1059
222	302	1054
223	303	1051
224	304	1047
225	304	1044
226	305	1040
227	305	1036
228	306	1031
229	306	1027
230	307	1023
231	308	1019
232	308	1015
233	309	1011
234	309	1007
235	310	1003
236	310	1000
237	311	997
238	312	994
239	312	990
240	313	987
241	314	984
242	314	980
243	315	977
244	316	974
245	316	971
246	317	968
247	318	964
248	318	961
249	319	958
250	319	954
251	320	951
252	320	947
253	321	943
254	321	940
255	322	936
256	322	933
257	323	930
258	323	926
259	324	923
260	325	920
261	325	918
262	326	915
263	327	911
264	327	908
265	328	905
266	328	902
267	329	899
268	329	896
269	330	893
270	331	890
271	331	888
272	332	885
273	333	883
274	333	880
275	334	877
276	335	874
277	335	871
278	336	868
279	336	866
280	337	863
281	337	860
282	338	857
283	338	854
284	339	851
285	339	848
286	340	845
287	340	842
288	341	839
289	341	837
290	342	834
291	343	832
292	343	829
293	344	826
294	345	824
295	345	822
296	346	819
297	346	817
298	347	814
299	347	811
300	348	809
301	348	806
302	349	803
303	349	801
304	350	799
305	351	796
306	351	794
307	352	791
308	352	789
309	353	786
310	353	783
311	354	781
312	354	778
313	355	776
314	355	773
315	356	771
316	356	768
317	357	766
318	358	764
319	358	762
320	359	760
321	360	758
322	360	756
323	361	754
324	361	751
325	362	749
326	363	747
327	363	745
328	364	743
329	364	740
330	365	738
331	365	736
332	366	733
333	366	731
334	367	729
335	367	727
336	368	724
337	369	722
338	369	720
339	370	718
340	370	716
341	371	714
342	371	712
343	372	709
344	373	708
345	373	706
346	374	705
347	375	703
348	376	702
349	377	700
350	377	698
351	378	696
352	379	694
353	379	693
354	380	691
355	381	689
356	381	687
357	382	685
358	383	683
359	383	681
360	384	679
361	384	677
362	385	676
363	385	674
364	386	672
365	386	670
366	387	669
367	388	667
368	389	665
369	390	664
370	390	662
371	391	660
372	391	658
373	392	656
374	392	654
375	393	652
376	393	650
377	394	649
378	395	647
379	395	645
380	396	643
381	396	642
382	397	640
383	397	638
384	398	636
385	399	634
386	399	632
387	400	631
388	400	629
389	401	628
390	402	626
391	403	625
392	403	623
393	404	622
394	405	620
395	405	619
396	406	617
397	407	616
398	408	615
399	408	613
400	409	611
401	409	609
402	410	608
403	411	606
404	411	604
405	412	603
406	412	601
407	413	600
